Title,Author,Genre,Rating,Description,URL
The Martian,Andy Weir,Science Fiction,4.7,An astronaut stranded on Mars fights for survival.,https://www.gutenberg.org/ebooks/8901
The Girl with the Dragon Tattoo,Stieg Larsson,Mystery/Thriller,4.7,A journalist and a hacker team up to solve a family mystery.,https://www.gutenberg.org/ebooks/5679
The Silent Patient,Alex Michaelides,Mystery/Thriller,4.6,"A woman accused of murder refuses to speak, revealing her secrets.",https://www.gutenberg.org/ebooks/6780
The Lord of the Rings: The Fellowship of the Ring,J.R.R. Tolkien,Fantasy,4.9,The first part of an epic fantasy adventure to destroy a dark lord’s ring.,https://www.gutenberg.org/ebooks/5672
A Game of Thrones,George R.R. Martin,Fantasy,4.8,A battle for the Iron Throne amidst dragons and dark magic.,https://www.gutenberg.org/ebooks/5673
The Nightingale,Kristin Hannah,Historical Fiction,4.9,The lives of two sisters in Nazi-occupied France during WWII.,https://www.gutenberg.org/ebooks/4567
The Help,Kathryn Stockett,Historical Fiction,4.8,"The lives of three women in 1960s Mississippi, intertwined in the Civil Rights Movement.",https://www.gutenberg.org/ebooks/1234
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.5,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.6,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.7,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
Do Androids Dream of Electric Sheep?,Philip K. Dick,Science Fiction,4.8,A classic sci-fi novel exploring humanity and artificial life.,https://www.gutenberg.org/ebooks/67890
The Moonstone,Wilkie Collins,Mystery/Thriller,4.5,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.6,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.7,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.8,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.9,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
The Moonstone,Wilkie Collins,Mystery/Thriller,4.5,A detective novel centered on a stolen Indian diamond.,https://www.gutenberg.org/ebooks/67891
Sample Book 1 for Historical Fiction,Author 1 for Historical Fiction,Historical Fiction,4.5,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 2 for Historical Fiction,Author 2 for Historical Fiction,Historical Fiction,4.6,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 3 for Historical Fiction,Author 3 for Historical Fiction,Historical Fiction,4.7,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 4 for Historical Fiction,Author 4 for Historical Fiction,Historical Fiction,4.8,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 5 for Historical Fiction,Author 5 for Historical Fiction,Historical Fiction,4.9,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
Sample Book 6 for Historical Fiction,Author 6 for Historical Fiction,Historical Fiction,4.5,This is a placeholder book description for the Historical Fiction genre.,https://www.gutenberg.org/ebooks/12345
